name,fame,category,category_label,icon,category_old,icon_old
Archaeological Ensemble of Mérida,1,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Archaeological Sites of Mycenae and Tiryns,1,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Bolgar Historical and Archaeological Complex,1,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Delos,3,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Early Christian Necropolis of Pécs,1,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Stonehenge,3,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Syracuse and the Rocky Necropolis of Pantalica,1,archaeological_sites,Archaeological Sites,icon-archaeological_sites,archaeology,icon-archaeology
Centennial Hall,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Chinese Pavilion at Drottningholm,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Chinese Pavilion at Drottningholm,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Drottningholm Palace,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Drottningholm Palace,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Drottningholm Palace Theatre,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Malbork Castle,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Menin Gate,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Palace of Mafra,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Tower of Iglesia de San Salvador,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Town Hall and Roland on the Marketplace of Bremen,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,architecture,icon-architecture
Cave of Altacosa,3,artistic_symbolic,Artistic & Symbolic Heritage,icon-artistic_symbolic,art,icon-art
Cave of Altacosa,3,artistic_symbolic,Artistic & Symbolic Heritage,icon-artistic_symbolic,art,icon-art
Prehistoric Rock Art Sites in the Côa Valley,2,artistic_symbolic,Artistic & Symbolic Heritage,icon-artistic_symbolic,art,icon-art
Alto Douro Wine Region,2,cultural_landscapes,Cultural Landscapes,icon-cultural_landscapes,cultural_landscape,icon-cultural_landscape
Cultural Landscape of Kenozero Lake,1,cultural_landscapes,Cultural Landscapes,icon-cultural_landscapes,cultural_landscape,icon-cultural_landscape
Cultural Landscape of Sintra,1,cultural_landscapes,Cultural Landscapes,icon-cultural_landscapes,cultural_landscape,icon-cultural_landscape
Landscape of the Pico Island Vineyard Culture,2,cultural_landscapes,Cultural Landscapes,icon-cultural_landscapes,cultural_landscape,icon-cultural_landscape
Lednice-Valtice Cultural Landscape,2,cultural_landscapes,Cultural Landscapes,icon-cultural_landscapes,cultural_landscape,icon-cultural_landscape
Prehistoric Sites and Decorated Caves of the Vézère Valley,2,cultural_landscapes,Cultural Landscapes,icon-cultural_landscapes,cultural_landscape,icon-cultural_landscape
City of Vicenza and the Palladian Villas of the Veneto,2,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
City of Vicenza and the Palladian Villas of the Veneto,2,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic Centre of Brugge,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic Centre of Guimarães and Couros Zone,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic Centre of Porto,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic Centre of Porto,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic Centre of Saint Petersburg and Related Groups of Monuments,2,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic Centre of Saint Petersburg and Related Groups of Monuments,2,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Historic City of Toledo,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Medieval City of Rhodes,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Old City of Bern,2,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Old town of Corfu,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
old town of Cáceres,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Old Town of Galle and its Fortifications,1,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Warsaw Old Town,2,historic_cities,Historic Cities & Urban Ensembles,icon-historic_cities,historic_city,icon-historic_city
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Struve Geodetic Arc,3,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,1,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Zollverein Coal Mine Industrial Complex,2,industrial_engineering,Industrial & Engineering Heritage,icon-industrial_engineering,industrial,icon-industrial
Alminhas da Ponte,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Antequera Dolmens Site,2,archaeological_sites,Archaeological Sites,icon-archaeological_sites,other,icon-windmill
Arras Flying Services Memorial,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Arras Memorial,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Artists' Colony in Darmstadt,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Astronomical Observatory of the University of Kazan,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
banks of the Seine,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Beaumont-Hamel Newfoundland Memorial,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Beaumont-Hamel Newfoundland Memorial,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Bergpark Wilhelmshöhe,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Berlin Modernism Housing Estates,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Bom Jesus do Monte,2,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Cadeia da Relação,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
Cambrai Memorial to the Missing,1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
"Campus de Alcalá de Henares, University of Alcalá",1,monumental_architecture,Monumental Architecture,icon-monumental_architecture,other,icon-windmill
