name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
Agave Landscape and Ancient Industrial Facilities of Tequila,Mexico,North America,1209,,2006,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q2104675,-103.769989,20.628286
Alcobaça Monastery,Portugal,Europe,505,,1989,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,http://www.mosteiroalcobaca.pt,http://www.wikidata.org/entity/Q593147,-8.98,39.548333333
Alminhas da Ponte,Portugal,Europe,,,,http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q665878,-8.61085556,41.14074722
Alto Douro Wine Region,Portugal,Europe,1046,,2001,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q649738,-7.544216,41.21145
Ancient Building Complex in the Wudang Mountains,People's Republic of China,Asia,705,,1994,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q11124244,111.05827,32.44479
Ancient Reduction of Santiago Apostle of Cercado,Peru,South America,,,,,,http://www.wikidata.org/entity/Q135087521,-77.011555495,-12.04934891
Antequera Dolmens Site,Spain,Europe,1501,,2016,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q97633694,-4.548055555,37.023333333
Archaeological Area and the Patriarchal Basilica of Aquileia,Italy,Europe,825ter,,1998,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,http://www.basilicadiaquileia.it,http://www.wikidata.org/entity/Q3575761,13.3675,45.7683
Archaeological Ensemble of Mérida,Spain,Europe,664,,1993,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q15233334,-6.33869,38.91597
Archaeological Sites of Mycenae and Tiryns,Greece,Europe,941,,1999,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q16945635,22.75,37.73333333
Arras Flying Services Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2674251,2.760418,50.286989
Arras Memorial,France,Europe,,,2023,,,http://www.wikidata.org/entity/Q2782982,2.760652,50.286982
